"V1" "V2" "V3" "V4"
"acceptation" -1.22784282993369 -1.20434445560499 -1.29433001975372 -0.359296172949946
"acumen" -1.03188411492687 -1.34566704731508 -1.25178218117187 0.219926060501228
"adjuncts" -1.20841981769625 -0.0807434982968285 -1.21900144233576 -1.02514662758726
"adversity" -1.65886873310087 0.0144269262801961 -2.29470364642499 0.483553641588034
"affidavits" 0.317627898232411 -2.17018012454813 -1.2368332863407 -0.979998335589342
"afield" -0.729265934327402 -0.750346067608706 -1.57841272568023 -0.504146134285319
"alacrity" -0.379984681450746 -0.825571415080353 -1.5612688205828 -0.0605025465667511
"analagous" -1.00283787477497 -0.864280404055092 -1.23879557180395 -0.337054880617487
"appendices" 0.0169186776624776 -0.796736575957 -1.03436236389897 -0.951730124781741
"batches" -0.538694437061931 -0.70233319247156 -1.42806804695724 -1.04517651058817
"beans" -2.05669152329619 -0.639117449395956 -1.02207318871233 -0.933891115079622
"benefactor" -2.2527818874701 -0.515824806287542 -1.69206835984305 0.0182005126783764
"bisley" 0.205190655563148 -0.249239528000724 -1.79896200636008 -1.51895259594784
"blenheim" 0.0961847185813371 -0.18335315429301 -2.37903492760076 -0.263845923862747
"bo" -0.594356562867862 -0.603580877123143 -1.41816389624864 -0.52492278727075
"boasts" -0.677429222113897 -0.701527328448857 -1.85505289057477 0.566401446544249
"boiled" -0.972076684004818 -0.389901454573154 -1.50665287207572 -0.539561359388947
"borings" -0.480138869992164 -0.642478340564893 -1.54102763424518 -1.11434065643575
"bucket" -1.01072653338392 -0.521447175345313 -1.86878970813399 -0.843502417550997
"buenos" -0.648185818205229 -0.0529774452412682 -1.58650151301465 -1.3839494885239
"burials" -1.21925752053024 -1.54165081664167 -0.835618837797037 -1.25153505401329
"camel" -0.566268679288372 -0.159911895410084 -2.10504659481913 -0.737159044870513
"cancellation" -0.542073068178907 -0.20227616478796 -0.868686710787716 -1.84051026169873
"carew" 0.0919548518100664 -1.91108279063389 -1.55724626160965 -1.95024762039164
"cartels" -1.97133730290302 0.116086434967031 -1.69613312880296 0.242345658326283
"cavil" -0.611248349527748 -0.903837949224021 -1.5043497074722 0.217675963646601
"claremorris" 0.123714591974373 -1.86551928641488 -0.710965541868969 -0.986670652309824
"cling" -0.940696448831408 -0.544325207716041 -1.79066137317706 0.253279193228539
"compton" 0.348050385121516 -1.06864612119607 -2.27738326106423 -0.894907680022038
"condon" 0.986041808395394 -1.80989845811308 -1.0182483290261 -1.4646355729324
"conducts" -0.534302960147946 -1.02416484383402 -0.890008220806204 -0.25744657632298
"conjured" -0.949870236315677 -1.07611818550938 -2.0825251582829 0.848555881283493
"constructors" 1.31291021820705 0.156869968558049 -1.82817537763843 -0.788390873514755
"contrasting" -1.02573725042881 -0.708727351487164 -1.54803966697482 0.658783834277031
"cordiality" -1.11278170235301 -0.942870506957716 -1.67175437861493 0.316071749549653
"cribbing" -0.0902348488920107 -0.138701077274246 -1.20628629765512 -1.27239549091039
"cæsar" -0.746463470135743 -1.73672271202956 -1.67617250642847 -0.706262630871491
"dependants" -1.16186784679605 -0.927352722078654 -0.488761908789488 -2.03891049317316
"deserts" -1.06923199075913 -0.659442840006501 -1.28840127264938 -0.675100834487056
"detestation" -0.982936172744594 -0.793955368803319 -1.95013923532927 1.21466848773598
"disarm" -0.482444787811078 -1.11021961695796 -2.03433928446854 0.803102657710787
"discordant" -0.622356579567811 -1.28839134199966 -1.76223647158693 0.540352115013758
"disquisition" -0.366248885203491 -0.954098139254381 -1.81461389361947 0.527599589612665
"disruption" -1.15740239229187 -0.0993150714837571 -1.89635054291266 0.505716203994479
"distrusted" -0.609443324270584 -0.83358847669607 -1.755608661185 0.0399514384821716
"drinker" -2.83259525021972 -1.30298095098029 -0.742297247525729 0.25448352423876
"ed" -0.447092482925422 -0.799142441173609 -1.62977526743236 -0.156776176212502
"ellen" 0.177245382557106 -0.545853556732687 -0.551020160484732 -1.9537049763527
"entities" -1.17988975894274 -0.918280463496758 -0.703591999328643 -0.482296738988234
"evacuate" 0.292757055399877 0.938035375650035 -2.00117327084299 -0.949402872137487
"exile" -0.765483655991526 -0.878632806557939 -1.15417721118493 -0.746197166183562
"expectancy" -1.70150200537702 -1.53809825359996 -0.345777448210474 -0.307328318917006
"extricate" -1.18280487513797 -0.472959656052548 -1.24308397077769 0.17365532136737
"filthy" -0.822732232862344 -1.09067837573345 -1.32088334915844 -0.895377673336242
"finucane" -0.820213624531309 -2.34386108401175 -1.50305472423173 -0.133588248759331
"forlorn" -0.53131386531364 -0.0991439286666 -1.94418657600127 -0.368820411279816
"freemen" -1.62946809569275 -1.11468016169199 -1.22298968529256 -1.06671001893557
"frittered" -1.38312302476008 -0.188484897474916 -0.655511769507813 -0.434295700952206
"gaselee" 0.526246514162242 -0.383998940906913 -2.1722840901227 -0.424911532883553
"glin" 0.0401362271128603 -1.53824663869833 -0.884820108110626 -2.76726823970957
"grudging" -1.1682042283437 -1.19381164224325 -1.46727246150834 0.612764022114767
"halting" -0.22264053582738 -0.926704982739143 -1.87919440984357 -0.0188351061042173
"holmes" -0.320789937499418 -2.01330930944439 -1.01896321125157 -0.858760908760431
"hooley" -1.41764658628011 -2.3204279081633 -0.953826273943847 -0.61339605745369
"huddled" -1.50206336599756 -0.117652217494415 -0.764463749982813 -0.603801137958427
"hydraulic" -0.566981952017349 -0.276881344563145 -0.868894667606634 -2.14451521922812
"ignominious" -0.693023252640289 -0.493480811590969 -2.23562445381534 0.313072255070096
"inflame" -1.38102196192406 -1.0537242148691 -1.426730613684 0.514228020743998
"informant" 0.0642971684672569 -1.24653391268429 -1.3245129254401 -0.671520179128018
"informations" 0.453626173684237 -2.38693929699198 -0.371689574031829 -0.544705530916364
"inhabit" -1.36268474841672 0.382961258480304 -1.51199729602794 -0.597021630735812
"injunctions" -0.711148765787088 -1.66001214670005 -1.23037322508812 -0.224981961356279
"interjected" 0.134717724034696 -1.18330075251179 -1.86926096560912 0.382288364844807
"invests" -2.09627847917748 0.197435029765541 -0.374216959596088 -0.91142183627459
"itinerant" -0.631294485740192 -1.28873648272398 -0.597660472716753 -1.4112974547863
"jeremiah" -0.452031594595237 -2.06187368799282 -0.606864659396396 -1.15798459681528
"kwan" -0.063671457068613 1.43455814487554 -2.23822206566177 -2.69912871941036
"leaning" -0.801817958528205 -0.930668883671697 -2.04006181372321 0.712863151063012
"lurking" -0.950386414007411 -0.521273127725033 -1.78610270941749 0.949498565499355
"magnanimity" -0.676670527405846 -0.585586777472951 -2.12062070240254 0.551807342893714
"meats" -0.434628035287862 0.590089845022429 -1.94562611392504 -1.51671840067232
"milvain" 0.584994819454041 -1.5156991935721 -1.29053573605079 -1.26912981413626
"mitchelstown" -0.336104564010433 -1.7731717387033 -0.426575989465267 -1.87352082071278
"nephew" -0.598643419160909 -0.66321621901009 -1.30288129290401 -1.68487366825029
"nursed" -0.780909293746494 -1.22306083374896 -1.02384896270685 -0.83232454881753
"obedient" -0.113624275723916 -1.03971410682084 -1.61281269683072 -0.00367382438303489
"obliging" -0.479818432137151 -0.965215274269757 -1.15315361341921 -0.795104426024079
"opera" -0.594091515752006 -1.19596638638184 -2.20876913890644 -0.350970550034019
"packages" -1.00612801800204 0.14988615457265 -1.52206516492168 -1.14631685216389
"palliatives" -1.41008687477327 -0.63117980215866 -1.91687087001268 0.589806292327283
"patron" -0.708006884725558 -2.00410109707965 -0.711048850247824 -0.523845131985462
"permeated" -1.11583262155413 -0.886430544835348 -1.57688947239834 0.629065329611514
"persistence" -0.950687160618355 -0.982188453575524 -1.72384141915154 0.404433410018611
"pictured" -0.619842952374252 -1.09528302774637 -1.9531774863901 0.237778576573195
"pistols" -1.52557590556138 -0.81664182521377 -1.29159452408166 -1.14436297185914
"premise" 0.478786391004161 -0.998259815298429 -2.17316660953766 -0.295741866970867
"prodigious" -1.07817007463254 0.262341516563036 -1.48370013077703 -0.315537994784029
"prognostications" -1.09083790111993 -0.589508523737676 -2.43043300670042 0.456943893598593
"prostitute" -2.21824669605839 -1.74713228808951 -0.427223241672388 -1.36586988566541
"quarrier" -1.27243877385594 -2.39279018753365 -0.218262675747259 -0.498039133725227
"quart" -1.96139035477654 -1.5359755171258 -1.49544727844189 -1.30996540296628
"rag" -1.29931433350836 -0.718713261857987 -1.73425418867141 -0.602738228531817
"rata" -1.6653229576841 -0.0898660169909463 -1.24786910905293 -1.17545095791214
"reciprocate" -0.042726696199477 -0.178086230343933 -2.08076874099404 0.844500025210734
"remittances" -0.784407828518536 0.729968340552947 -1.09650791568866 -1.73546488799974
"reprimand" 0.135816248491761 -1.53733008326282 -1.22475136549485 -0.208727905022548
"reprobation" -0.254446688293583 -0.93331949275415 -1.72283800572346 0.505054828857511
"rescind" -0.101350669613015 -1.44210266175059 -1.11122085930715 -0.184483217949718
"reuter" 1.12765287635482 -1.26278525306679 -1.78580340427789 -0.983608994176155
"ronaldshay" 0.473810751232891 -0.368710809755694 -1.47542800574211 -0.996613364888312
"seasoned" 0.548968610147657 0.860797341314036 -1.62578926443823 -1.43618906050127
"senseless" -1.24243527352483 -1.01652984521012 -1.79861454007368 0.152819800630335
"severer" -1.20541862171754 -1.30244710010182 -0.829614998297826 0.180234497776385
"shipwright" 0.479201166929356 -1.31406245526796 -0.80633050773337 -2.66929294276607
"shipyards" -0.379115770883622 -0.176041203402688 -1.44543802177944 -1.40543524239229
"solemnity" -0.420158962918565 -1.4193719209922 -1.6135132548135 0.505435438837715
"sorrows" -1.72028884984631 -0.437558740173436 -1.60455506849628 0.386530585382607
"sprigg" 0.821420727121388 -0.671992667810587 -2.62282372808501 -0.0732913382591768
"steamboat" -0.199102720742 -0.142664124614936 -1.05457735680924 -1.92072525247088
"stiffen" -0.275714567030388 -0.582919060304536 -1.58130465866738 -0.35496671266045
"sting" -0.609169604336565 -0.837643007432089 -1.78917941052247 -0.340165278204271
"strangle" -1.64345901940493 -0.489377790771373 -1.10531917947139 -0.443382816156314
"sublet" -1.75360228486924 -0.979063598540916 -0.299194742254737 -1.39491249225725
"suffragettes" -0.0437396221039579 -1.82526252175682 -1.44908305725434 -0.145964476314659
"templemore" 0.147223285650484 -1.72062728872289 -0.728140194654899 -1.37476128832921
"tenacity" -0.632583939058489 -0.451541237597293 -2.28971515334822 0.786155220693393
"thornbury" 1.23065305924439 -1.17669279445038 -1.69622353701422 -0.145990432659931
"thursdays" 0.707182737295334 -3.03249498907578 -0.826288611761214 -1.16994756537305
"tooth" -1.36199786541659 -0.678113241726426 -2.39548774819933 0.23089347022064
"travels" -0.434151904189449 -0.0802571084586583 -1.68174959602122 -0.896790777397301
"uncivilised" -1.37060629789386 0.58631521314887 -2.12845313729064 0.496416685528001
"unmindful" -0.427172156430459 -0.797613173695557 -1.28463310756884 -0.202414212916003
"unsuccessfully" -0.683907159153987 -1.06570895793361 -1.47606488856728 -0.0810914701325015
"unvaccinated" -1.66677730278012 -1.34501843108219 -0.481658182473779 -1.56072459865764
"vacillation" -0.947818227711234 -0.324927293912327 -2.4284692353633 0.293721746798725
"veil" -0.964382490909261 -0.873996104182363 -2.32415980321446 0.0372443335867561
"warrington" -0.509792381065237 -0.751457089206558 -1.2429007404845 -0.637218974957291
"wearied" -0.888241690145558 -1.18997340292544 -1.70822226132256 0.120219608450172
"wharfingers" -1.38141428090016 0.12686800767127 -1.35085942763992 -1.50134331504618
"wonderfully" -0.948606232400921 -0.367262074208253 -1.88224748285496 -0.192171212858524
"woodland" -1.51052791635205 -1.50884415413458 -0.371121915937304 -1.29552253789498
"worthily" 0.0569927384426692 -1.27955828977055 -1.68421903848872 0.266451615649961
"abercorn" 0.269923474969049 -2.19432925605276 -0.765606072268932 -0.959205116849581
"allaying" -1.20428226532379 -0.799350619912114 -2.31815309726275 0.411997133687492
"analogies" -1.06819374864504 -0.894230299756322 -1.2921305968881 -0.0119508605845352
"annexing" -0.314820929977389 -0.0595026391886408 -1.73180909580578 -0.415532196347245
"apples" -1.40569961042914 -0.494787189427139 -1.29969674392424 -1.11181617250523
"arches" 0.245819942209807 -1.435395913151 -0.582589073804952 -2.08231777653513
"architecture" -0.443296865592231 -0.0995342686714335 -1.8642888230201 -0.673710629933198
"arousing" -0.907543242856649 -0.898416118356626 -1.75915864957531 0.380516766267792
"auckland" 0.00175918347785222 -1.69128140819245 -1.49667454520418 -1.09345141216362
"audacious" -0.281079011944025 -1.15791630140412 -1.68814021836106 -0.103110705926737
"aversion" -0.835074763740038 -0.922996492472303 -1.29418847288107 0.0841711167114725
"axe" -1.39579198687279 -0.727130826985877 -2.23381661654836 0.0470638657757798
"bertram" -0.574313693795682 -1.86254623124171 -1.46142900146803 -0.515658487162978
"bishoprics" -1.37097396519536 -1.58935932934362 -1.44229965970095 -0.532434384581769
"boasting" -1.0158042078243 -0.206260625153129 -1.69655136795124 0.199319649777675
"bunkers" -1.63017759946401 0.787620982325768 -2.08635118575061 -1.0352921251135
"camber" -0.16797823272214 -1.05594009863168 -0.784289184858577 -1.1400225016121
"carbon" -1.28282298736547 -0.643187081680965 -1.12511522424927 -1.16783920569566
"castings" 0.786038869152545 -0.235008010273256 -1.60161424042151 -1.92741510634185
"catering" -0.246077529022291 0.252268358916429 -0.925630322925237 -1.595082385582
"celluloid" -1.47108002808134 -0.274904749776063 -1.7244407275503 -0.96594958008291
"chapman" 0.543320597675925 -1.661600182935 -1.40376031528987 -1.14783005569797
"chronicle" 0.120983407456941 -0.731000073042469 -1.6361723178766 -1.08880711861752
"clasp" 0.424272069882189 0.0450938933918383 -2.70867084476411 -0.594904340378218
"clavell" -1.27210682893953 -1.55709555457442 -2.86454995542122 -0.0384814081585918
"complainant" 0.141387810142539 -1.93971505209114 -1.16904279580373 -0.669248625232167
"confided" -0.517974867855526 -0.747489687327887 -1.32878251551486 -0.327577949321123
"cons" -0.506358173219517 -0.680470672796867 -1.45881599477086 -0.253629878656768
"conundrums" -0.750445364774255 -0.862722961537564 -2.03810036536404 0.728709844149528
"convoys" -0.87438091724448 0.415386603426173 -1.87289918400408 -1.32621693760151
"counterbalanced" -1.90224240471285 0.858317722991268 -1.21962372906613 -0.636035185538905
"credible" -0.0991369545172541 -0.518130918998875 -1.69229427257668 0.213806583039672
"creek" -0.605803103199433 -1.09887068565679 -1.4008637608915 -1.28329261979764
"culminating" -0.384424542984681 -0.0731955452347747 -1.73709401405424 -0.274942074114617
"dance" -0.8168300209705 -0.681938627149702 -1.77588939823692 -0.614504738169908
"davitt" -0.504405950615323 -1.8075605858904 -1.15223412549942 -0.955944877391596
"decades" -0.898331445261714 -0.076958437572759 -1.44375363763908 -0.0825410987500511
"defends" -1.03583064568587 -0.494474605730355 -1.72572072449112 0.33924636536639
"densely" -2.01452906509446 -1.0391497554797 -0.972622355634286 -1.48597178343377
"deploring" -0.295560496746063 -0.494122137318149 -1.95344839880573 0.321876222012428
"detest" -0.799777577452108 -0.598835715379872 -1.74426366859626 0.381361295016853
"distilling" -1.23821914313881 0.480838491896163 -1.09304261918819 -0.884640706110126
"distracted" -0.945907434579822 -0.534315770705314 -1.71357502107056 0.402329636715386
"docked" 0.150012034119783 0.318121858790609 -1.74708931872853 -1.93767602079674
"dockers" -1.05226179229596 -0.489646228690353 -1.11237162020462 -1.15547087806859
"dufferin" 0.259805136104827 -1.18530005353823 -1.59918225174221 -0.497304803672907
"ecclesiastics" -0.429522686896443 -1.83784860481956 -1.17842893224066 0.145880511825542
"embarrassments" -1.23501258681086 -0.0263338011926457 -1.52912449421851 0.49349001108053
"encroach" -0.509038472138816 -0.448997302418616 -1.23078927366295 -0.0484253968696736
"enrol" 0.870220566487409 0.115966245736081 -1.25559945281031 -1.0855007594638
"equipments" -0.722435190500859 0.480620126036218 -1.21715818069587 -1.50186690879931
"expel" -0.315934462772715 -0.909258832035384 -1.59814178908183 -0.148012516152595
"exponents" -0.954749702118019 -0.738800811886467 -1.59502422643644 0.704588885303651
"fans" -1.31760513231879 -0.968278030817187 -0.738479703419822 -2.05092970141028
"fellowship" -1.1386033570498 -1.01098605120857 -1.37269551840154 -0.551708999273466
"fertilisers" -2.55433531202508 -0.409099606490061 -1.04533586346507 -1.20727775089933
"flight" -1.44079620367814 -0.262010404227433 -1.6621157652225 -0.238934442369844
"focus" -1.07830428915017 -0.671670397810053 -1.48900118812917 -0.164479998271886
"franchises" -1.28253523586268 -1.39106078245106 -0.932967262135959 -0.336067506169483
"gallantly" -0.128796168762025 0.178058417792505 -2.10871373961674 0.0799016479624544
"gamekeeper" -0.476033469019097 -1.37012946953388 -1.27884356878298 -0.92096740278566
"garments" -0.811313216751493 -0.157331297887877 -1.51519647200936 -1.01647714273891
"heaped" -1.55833483083428 -0.62303869046918 -1.20278932806629 -0.19026108575813
"hermes" -0.462186066510283 -0.232183489351268 -1.52239570883693 -1.93895295739351
"hitting" -1.55597714379978 -0.391630337695769 -1.55093844482993 -0.741205277418041
"hoar" -0.130975536022707 -1.31273704845183 -1.59031148456171 0.426409234890058
"hoare" 0.575820219299568 -2.24926875106778 -2.0522277734673 -0.851667268518186
"honduras" -0.18562525876296 0.0409051539669976 -1.60029050571264 -0.974050606181934
"horticulture" -0.914686581068261 -0.900503805997238 -0.819661650916972 -0.910832153512318
"hustled" -0.506744373180407 -0.627629322121859 -1.47012034104892 -0.0603883578053207
"incorporating" -0.583087695523836 -1.03829048854719 -0.94385912772151 -0.54988084213724
"incursion" -0.319123217545958 -0.0058347756584194 -2.21651296749939 -0.286567038672011
"indemnify" -0.582223613743102 -1.01318677338581 -0.765559156224673 -1.14724159813847
"inexperience" -0.77616820381449 -0.896834693941502 -1.08939686461343 -0.805309390410387
"inhabiting" -1.56397018852709 0.358995704071164 -1.44952819723171 -0.813868129913917
"innuendo" -0.0914792070647029 -1.30844354243509 -1.9133388100406 0.0960913926755219
"inshore" -1.48813086913883 1.29104586236168 -2.28946677696057 -1.49611361858975
"insolent" -0.494874007233271 -1.56968244822614 -1.58734117013241 0.390153368929919
"irreducible" -1.19335528516308 -0.272251618928888 -0.988510911334253 -0.891389264886418
"journalist" -0.521987287868159 -1.13539193100124 -1.4838819270989 -0.439193871891111
"kennington" 0.601086199267717 -2.01721200077322 -1.66461698199834 -0.768583052044187
"kyle" -0.216528511383351 -0.10346168528771 -1.45719336333429 -2.5865808581405
"lectured" -0.394990785222508 -1.44363994449589 -1.49282438471916 0.0952598536796232
"lien" -0.694975575779265 -1.03275793533232 -1.0737692399874 -1.73557372583396
"lightened" -1.25277280588134 -0.442587573840981 -1.17595514086104 -0.431184599869661
"lisburn" -0.288989861007123 -2.18827912013938 -0.245962699854315 -1.43979432262266
"locks" -1.33731375078867 -0.876557791339686 -0.971960410591259 -2.05033075970376
"loom" -1.07997195446999 -0.358264115149643 -1.56347269081919 -0.73406356567863
"loser" -1.09988428379202 -0.47010294596483 -0.958224266914302 -0.747104615572226
"lunch" -1.14872764928252 -1.18364094100843 -1.57784179094363 -0.667535014697175
"maine" -1.27154320660176 -0.514777273692349 -1.47303340682282 -0.99607772958374
"metford" 0.470480487858608 0.575916924342031 -2.65838047748967 -2.26346908687958
"mildew" -0.206635569086426 1.38293756314218 -2.25898875284336 -1.98294216940682
