"V1" "V2" "V3" "V4"
"accusations" -0.942302043067977 -0.348366465679617 -1.7064208706097 0.368821468211141
"admirable" -0.698545256996908 -0.477809689922029 -0.292079471615369 -0.712236645368748
"agitated" -0.737487416233364 -0.52243037511014 0.0705271052600263 0.4794060996762
"analogy" -1.03912576216616 -0.646410837823828 -0.349841057767483 0.772334505064588
"apparently" -1.04673724493103 -0.470670373387597 -0.543933170665737 -0.979112766852856
"arm" -0.762378899756556 -0.329438612054962 0.288850221806459 -1.05250140670748
"art" -0.644314102133139 -0.846086358590053 -0.347224993955849 -0.771661352309876
"betwixt" -0.615985672550259 -0.871315445339366 -0.0838154101828577 -0.847733941431061
"bottom" -0.991131394592014 -0.883630942311484 -0.229676973913716 0.824480512271724
"coincided" -0.627926241874506 -0.450992069875605 -0.288618568382999 0.574145133959989
"com" -0.54672543991065 -0.903918407656163 -0.0054384510288739 -0.165535830016691
"combination" -1.1340141933962 -0.730814237702507 -0.286665307136099 -0.20489998256865
"comparing" -0.674002558494306 -0.298786883740047 -0.252591524453945 -0.470792976348046
"contrived" -0.498067427158102 -1.10430164815606 -0.452780918635535 -0.597189907798655
"deceived" -0.90282359642715 -0.72089428826224 -0.165024377422535 0.0699951585751466
"deficiencies" 1.0954672796705 -0.852163876733751 0.120111005596774 -1.07543396368132
"desperate" -1.46515892773392 -0.286945486246828 0.105389924573442 -0.841871172088017
"dictated" -2.28961959441379 0.403938614790076 -0.689040260313087 0.078844464335792
"fidelity" -1.72583347220779 -0.212131451262797 -0.148740957096981 -0.34488592074469
"guardians" -1.23203041385352 -1.54257001137965 0.545188635054793 0.756593927154549
"hamilton" 0.903021913431305 -1.92957370163851 -1.90359708338161 -0.498010289606994
"harbour" -0.616772732564854 -1.50368910190701 -0.925773681100916 -1.21569008359265
"henry" -1.09227265364867 -1.89762358813502 -0.39119562491924 -0.223353438436016
"intimately" -0.304575484912698 -0.756476978278972 -0.248704158780429 0.0599102778678593
"licence" 0.0256349511919702 -2.0407007358601 -0.0321468389581022 -0.904085199982786
