"V1" "V2" "V3" "V4"
"accusations" -1.37508195924697 0.66247356606887 0.904868959641507 0.915558886973046
"admirable" -1.02290800586451 -0.573339901989137 0.0351408680474475 -0.0205603923682529
"agitated" -0.243821307994751 -0.226764201603353 0.959540709947457 -0.156585997751475
"analogy" -0.555129943575077 0.0720587325941804 1.39395090760649 0.162397599828836
"apparently" -1.39661238080731 -0.771296881719768 -0.0306546141229942 0.165661357419319
"arm" -0.760696974020584 -1.12877455651677 -0.144365741510111 -0.246684295441855
"art" -1.26445447669649 -0.446920617393229 0.0907246106778388 -0.334379036970169
"betwixt" -1.15226390415105 -0.605260588898811 0.0439879472814154 -0.511205700875565
"bottom" -0.541121951434295 0.0694513514178562 1.4683748272708 -0.0936748550496047
"coincided" -0.375664140655008 0.0942488318157194 0.934200037316317 0.050058222108806
"com" -0.746304435991913 -0.243789752949705 0.555701880226427 -0.548751629471847
"combination" -1.03815028889044 -0.532637882319103 0.757575904292713 -0.0309777127641407
"comparing" -0.733715628265069 -0.448752168455421 0.124142324393252 0.0822601605818165
"contrived" -1.28944893064607 -0.165451916526923 0.213593924959794 -0.508341706194543
"deceived" -0.768088099522842 -0.357513679987426 0.823267950889034 -0.142288509899416
"deficiencies" -0.464577208306684 0.228873297616295 -1.10558238239603 -1.2646785723049
"desperate" -0.969885241180206 -1.36487119435746 0.379740850991959 0.179042268514948
"dictated" -0.99027020923563 -1.03450015683335 1.2349710383214 1.53614128114205
"fidelity" -0.964247347491755 -1.16991426689052 0.825274014100182 0.523267627572145
"guardians" -0.529853134174797 -0.524423821418123 1.88095402856119 -0.915236823152431
"hamilton" -2.08591317864187 1.7147804642299 -0.385351119539198 -0.911476858128005
"harbour" -2.12613400540516 -0.221248549976377 -0.0261526575838487 -0.578503699008403
"henry" -1.67691231552367 -0.19749292759851 1.08986025078188 -0.942462681100873
"intimately" -0.635869756664119 0.057116802514061 0.485459585887922 -0.329051468935976
"licence" -1.45864042765592 -0.0277939253888556 0.131160053997963 -1.54488340255745
"lottery" -0.824337672903663 -1.61409806302665 1.12476400565347 -0.468048231594919
"minority" -0.632321768239208 0.316965274844778 1.12451266944949 -0.645774024377322
"negroes" -1.66566732109891 -2.02689713543823 0.764961669081449 -0.274300828164506
"nugatory" -1.02503317711432 -0.659953734934158 0.57333846529681 0.383498836024557
"plainly" -0.770778137763059 -0.242730368830098 0.632619728065862 0.176535099680436
"prussia" -0.98552479964906 -2.03658829168265 -0.697252636019436 0.62057427907269
"publications" -1.09022316689197 -0.499572428026287 1.03183120296484 0.240492432888695
"quitted" -1.50488302122469 -0.282472734968632 0.333283199332807 -0.37739130749497
"secrecy" -0.999517289693275 0.440729942161443 1.29705729653545 -0.476044942065242
"spread" -0.918681568048259 -1.18814316550858 0.706579538929318 -0.261613084718675
"successfully" -0.829653495214057 -0.68191791805224 0.260522197101593 0.131882723817555
"undoubted" -0.209037354335385 -0.497427513538751 1.10737840750549 0.740365645003692
"unjustly" -0.905340200241497 -0.415381678390095 0.612830725032651 0.360858099747571
"unqualified" -0.264245442742947 -0.227120284950091 1.26707016788134 0.744319975678752
"writers" -0.00346330073604359 -1.2208582518091 1.11425845622795 -0.240883212847232
"accident" -1.28928572370961 -0.524488380173976 0.397812443988515 0.161568790024115
"ballots" 0.025900579005632 -0.62775403277203 -1.26186639019892 -2.28684840284033
"bat" -0.49185004946241 0.00998406737554919 0.210584572743237 -0.0754373943651555
"bay" -1.38532398385091 -2.11464447406346 -0.328760303247204 -0.72998513158708
"career" -1.20483444487602 -0.374833628593218 -0.0627907159733974 0.864610416963601
"cargo" -1.797961263241 0.00869407028965049 -0.732279484768873 -0.920910524698344
"closely" -0.749998401193572 -0.461168942246008 0.738309492525413 0.318624265432223
"cochrane" -2.35082792533091 0.747042212422761 -0.63701099236065 0.499593349524775
"commutation" -0.326739602028766 -1.02446910838569 0.563375480522878 -1.29156598459259
"embarked" -1.10580079354818 -0.984025557624159 -0.662118967363894 -0.0253255986185214
"exciting" -0.794137192698487 -1.56568088252516 0.899056805060896 0.777765575874725
"export" 0.159491172347604 -2.22088187557197 -1.15078676332362 -0.929663324785181
"grateful" -0.84774152316883 -0.648258511852799 0.17352305158481 0.327725156220841
"impeachment" -0.785592565437374 0.428490484442732 1.3138625186895 -0.151357379432519
"improbable" -1.48237569996763 0.625556691113577 0.935991905543689 0.186751060849277
"losses" -1.85263247728283 -1.01431852834203 -0.0598945106229487 -0.032520665376093
"ministry" -0.810289231793273 -0.736614304386157 0.816398187366544 0.225144186869468
"nabobs" -2.2460850186625 -1.16776845464744 0.140064683146142 1.80206502321574
"offenders" -0.948724263543661 -0.643123918749995 1.68292959599811 -0.978379345468962
"originate" -0.679035954374941 -0.259011385711836 1.18937272642184 0.0799033604289757
"pierson" -1.43112116363128 1.98573832010146 1.46470648500383 -1.1543252921716
"pro" -0.99492374041647 -0.00375371977516307 0.698896041609336 -0.440882044890274
"publicly" -0.73627327650884 0.1631643239423 1.13786780457985 -0.471888163217294
"register" -0.138988445348516 0.275823584226062 1.59541870012096 -1.57688235086912
"rejection" -0.264491999909065 -0.161743512663209 0.8647289723071 -0.407291577836122
"reluctance" -0.776083469205029 0.187307032609355 0.942137335555132 -0.0731331410059831
"tender" 0.266394239342199 -0.228372370025144 1.1438698673574 -1.40092443240057
"unavoidable" -0.768382786847882 -0.707769805336624 0.21973470842261 -0.188656879843772
"woolsack" -0.934525587154284 -0.247519143773358 0.588248018378339 -0.114094026644484
"working" -0.577454368210521 -0.831783052427941 0.501827629864758 -0.757353133693557
"accession" -0.873024343331161 -0.488853472106588 0.179706760472672 -0.333316712927416
"affords" -0.561956596501227 -0.229575979809161 0.475272071017784 0.100290982644497
"applause" -1.65649674937668 -1.24231986781631 0.108307564986143 -0.188034758416105
"ardour" -0.234633424852934 -2.07269266587651 -0.693070851505976 0.781041816106974
"ashamed" -0.520255002824914 -0.289782028782669 0.404238687248188 0.0227804043628807
"birth" -0.930687900351197 -0.825471603492487 0.593886425590021 0.238655575043186
"bold" -1.00804090264387 -0.362082608265502 0.820512002778969 0.648766076448462
"calculate" -0.581367672889495 -1.1789392524394 0.264372357007357 -0.124317265532623
"certificate" -0.609556054833474 -1.04417596112339 1.9759655248656 -1.15624886450984
"confinement" -1.02414007076269 -0.166352500449483 1.60014996244514 -1.36864026939622
"definite" -0.340449962013339 -0.783608332978158 0.368866692513255 -0.209784119621178
"destination" -1.37633234851036 -0.874626514101219 -0.480699467619755 0.0977282859704583
"destitute" -0.808922298949884 -0.208146595271313 0.471505086883126 -0.166626871794673
"distillery" -0.0445317439899593 -2.06806246378061 0.466433343183557 -1.33784311583647
"doubtless" -0.922129900583138 -0.612353340108201 0.617345228530671 -0.239565162038523
"explicit" -0.434877422365226 0.00169352282850928 0.907224911461254 0.639697234911749
"forty" -1.1331775820815 -0.0899949250214123 0.0300862259727889 -1.55622923458596
"gratify" -0.711335558722748 -0.203296750169867 0.775407896238883 0.475184156217074
"hussein" -2.68381666925837 -0.941980926294004 0.312605647677721 1.30916212782258
"ii" -1.8353349060316 0.467962465020746 0.913530595865072 -0.828705645963406
"imposing" -0.23462392540831 -0.694707747386097 0.653135546849955 -1.44798056244266
"impunity" -1.11132823912696 -0.549960422861431 1.32673249670809 -0.247153406253441
"ingenious" -1.08198425359487 -0.0534279928227199 0.683377832912816 0.949522507928563
"irregularity" -1.15723076701862 0.0880228262375723 0.513390245522434 -0.236632265144075
