"V1" "V2" "V3" "V4"
"acceptation" -1.72691176271594 0.982275027010701 -0.12090528308551 0.930701153117567
"acumen" -2.02597915432864 0.761294857292202 -0.0148880327656029 0.285909470057686
"adjuncts" -0.695234378384351 1.38698837344989 -0.962659558669376 0.994490143279142
"adversity" -1.54881210878672 2.12196683958823 -0.876260488363618 -0.115862623360953
"affidavits" -1.92921172445071 -0.76984897591164 -0.552565157081279 1.57709936458441
"afield" -1.43953132747378 0.906476569789625 -0.78844046032032 0.622447300994033
"alacrity" -1.43451505308754 0.690619331919764 -0.779130482658861 0.138353656147353
"analagous" -1.13697006298682 0.898771759528677 -0.434214080409351 0.952540018116765
"appendices" -0.940171655929788 -0.174588051942168 -0.66016225645262 0.952730218292084
"batches" -1.17700779674035 0.513303420399879 -1.03197404433426 1.04561518980788
"beans" -1.7057383293312 2.2725639011704 0.136481451681542 1.05892970879964
"benefactor" -1.64835031847438 2.15273079832587 -0.0654973796666117 0.658535112284273
"bisley" -0.813811069781696 0.115194602406198 -2.02570309228623 1.00686195932502
"blenheim" -1.31636701684896 0.581183761237194 -1.78851206226265 0.0459257658213472
"bo" -1.1878755529746 0.823006922060047 -0.762982286976843 0.632387049077906
"boasts" -1.76771963886949 0.937767683529985 -0.766937178027038 -0.272736043700115
"boiled" -1.0613980111754 1.12833764273988 -0.814254108295528 0.686982872108537
"borings" -1.10457180954975 0.698044509483756 -1.19042148044316 1.10967237301597
"bucket" -1.19177229226478 1.37679658127833 -1.28720416838965 0.92964156259263
"buenos" -0.643941638300635 0.818292923920012 -1.3060682177035 1.44112353780609
"burials" -1.47748448685539 0.543827333804395 0.136905739704322 1.85778446559291
"camel" -1.16522354087221 1.05048823134533 -1.64963069632401 0.501261607790048
"cancellation" -0.210803925553729 0.495522144313734 -0.978175524544467 1.71030459976419
"carew" -1.94149312331965 -0.655066689461637 -0.770741194159624 2.13395272256697
"cartels" -0.999784498861809 2.30035991761073 -0.46170027087226 0.314600041923951
"cavil" -1.61810695971973 0.590316798716241 -0.423042161416115 0.123825309636829
"claremorris" -1.55568045666098 -0.750340709928019 -0.0342691542385992 1.39126256471345
"cling" -1.61100795096968 1.0740004427687 -0.768803754792152 -0.0850677312096014
"compton" -1.79816880600276 -0.191341035196171 -1.67665427532364 0.992820360359973
"condon" -1.44281287330832 -1.28178489043837 -0.625132669929248 1.7015383937534
"conducts" -1.31443547348783 0.318906103707795 -0.183220703248425 0.593910927079956
"conjured" -2.25880049927066 1.2441978546125 -0.529113478557052 -0.396114951789934
"constructors" -0.496457159910158 -0.395386039290535 -2.39164079335923 -0.171696269362705
"contrasting" -1.57640303497231 1.18015287746258 -0.2346594511169 -0.347237416551879
"cordiality" -1.77946123529589 1.25878313477998 -0.392581320751937 0.164226684356766
"cribbing" -0.414790953268925 0.17142950083555 -1.262033335064 1.088826444053
"cæsar" -2.04051343163953 0.515123510539204 -0.591967998416799 1.24190395841564
"dependants" -0.530047349416191 0.698870760439057 -0.370551287243798 2.19124160390165
"deserts" -1.29843112113558 0.942412492586058 -0.503093389197475 0.921312119939791
"detestation" -1.97733692773859 1.406123074165 -0.286824039854589 -0.656482823595621
"disarm" -2.20206370590591 0.825133578297255 -0.68352514572667 -0.392624948462539
"discordant" -2.17956863312299 0.794757931381238 -0.41282068221108 -0.145900663873801
"disquisition" -1.88440594418394 0.486231889383517 -0.887082003360658 -0.239490090861658
"disruption" -1.41026801069624 1.48324901451091 -0.807479036681434 -0.364318631324648
"distrusted" -1.67152116145226 0.779040127972722 -0.712080978637185 0.227665372054962
"drinker" -1.80754957948006 2.45869434867356 1.15496000116474 0.633311485547803
"ed" -1.52804887270698 0.631329218541005 -0.763669874210198 0.395198881592434
"ellen" -0.0980229210460669 -0.493596919432881 -0.734463850279084 2.04987537183206
"entities" -0.999533087340522 0.745536579680203 0.135159348888335 0.934564745984962
"evacuate" -0.0462121265130577 0.717577148396398 -2.30260418419506 0.198796245770122
"exile" -1.22812496149194 0.620148856180772 -0.537035443687743 0.903022847434745
"expectancy" -1.53464304340623 1.03769862146568 0.824552517578446 1.12426484976563
"extricate" -1.25224124129581 1.25625447764126 -0.179238132260551 0.130477505773611
"filthy" -1.42142862028745 0.514833274055116 -0.585651641873849 1.17173902632844
"finucane" -2.65691311140479 0.236729202721057 0.147520407495189 0.965026043816414
"forlorn" -1.06368663023308 0.958532349120133 -1.37386367832228 0.356710178594193
"freemen" -1.4622864028433 1.14213190607194 -0.0630878098932985 1.61775979542548
"frittered" -0.604893359248827 1.27475086107993 0.0891386829097834 0.796494095211805
"gaselee" -1.32251156307431 -0.0149012052747996 -1.84159969599049 0.189583470415194
"glin" -0.858830299283994 -0.762053891124652 -0.608948050742329 3.13645087588236
"grudging" -2.02370569636362 1.05008966443482 0.0780354688137786 -0.14074481103592
"halting" -1.83437333430385 0.321352209645629 -1.10182140876485 0.11923772074922
"holmes" -1.99908334492789 -0.518607384059668 -0.142192137439914 1.44370866938648
"hooley" -2.35536617990221 0.485592471700845 0.672723055887059 1.52664144967253
"huddled" -0.903675338361544 1.35608565057613 -0.224912878644904 1.11791224520313
"hydraulic" -0.2862407877049 0.386529140558035 -1.18623347715129 2.04601207218733
"ignominious" -1.833014876472 0.974395153128913 -1.16117650000181 -0.219753979308642
"inflame" -1.91277679147548 1.27674497996056 0.0628199836915724 0.00186751476384434
"informant" -1.3976867459405 -0.277750698308248 -0.760970514091871 1.04172311682142
"informations" -1.69738943515007 -1.38051986454486 0.211406285270879 1.02225215536091
"inhabit" -0.597428886237839 1.55042411844277 -0.960649182632703 0.625679119506387
"injunctions" -1.96494713111001 0.261825288554925 -0.102817498942318 0.84382770997547
"interjected" -1.6616062691851 -0.019856018993692 -1.00441325943199 0.309730773876908
"invests" -0.0913548886073392 1.89738204714967 0.305397686762592 1.37136586413851
"itinerant" -0.963917293621364 -0.128141283208466 -0.568421630397922 1.48281957760822
"jeremiah" -1.78586422026032 -0.354775376555006 0.436933105703553 1.76135578160505
"kwan" 0.474253154174422 1.1607044978229 -2.90393243644377 1.81782601109643
"leaning" -2.037138109801 1.02136243380576 -0.591167190995401 -0.296707286967422
"lurking" -1.73205213409793 1.39478909805022 -0.459448559871205 -0.771378376750133
"magnanimity" -1.73301979866365 1.1701087459239 -0.818299078414987 -0.310307245761187
"meats" -0.272223572162784 1.06482628940771 -2.12215685636514 1.10502798209976
"milvain" -1.58543563997312 -0.988840583492262 -1.07781960414019 1.17649806837615
"mitchelstown" -1.17007929102832 -0.421197191232798 0.168158496600971 2.37780294663711
"nephew" -0.814907263460311 0.413316627676505 -0.93201887949574 1.86448079679674
"nursed" -1.59087793888712 0.311131734409394 -0.648067083527093 0.968856073307365
"obedient" -1.63279578125625 0.209231452064249 -1.00612854130773 0.0442601047735091
"obliging" -1.17787574586163 0.202593887424941 -0.662975457289062 1.08691697041504
"opera" -1.95974184148024 0.814749811654837 -1.2030368941197 0.689558002313992
"packages" -0.478880328536305 1.20981159428953 -1.14029793302172 1.12133007625928
"palliatives" -1.85939289025431 1.67300977109474 -0.536025272545458 -0.0687059544378138
"patron" -1.9853566115591 -0.143754181882858 0.418694784229704 1.21690512336502
"permeated" -1.88654751174415 0.988102646227977 -0.410141838352181 -0.187033483162707
"persistence" -2.00642990844388 1.24256714018205 -0.466933070558124 -0.128917717512825
"pictured" -2.00441502413545 0.801156751470059 -0.669255211797902 0.135317364829468
"pistols" -1.20317450151507 1.28848129954188 -0.527975256003952 1.49709865879601
"premise" -1.83069798979841 -0.293716430844612 -1.69385623450976 0.0974732957616766
"prodigious" -0.593917168659906 1.48001666577906 -0.829297661237722 0.385555356561037
"prognostications" -2.01854926173604 1.52677242153243 -0.955697650642509 0.0485037073478123
"prostitute" -1.351180122612 1.12187705115342 0.197275994251311 2.19575862263071
"quarrier" -1.65382930357685 -0.29957982674405 0.212822608338475 1.33949858186284
"quart" -1.83467231123951 1.47896359041665 -0.341383979191327 1.97183936858736
"rag" -1.55568650316034 1.28666009624357 -0.553083478945644 1.10895949489695
"rata" -0.60404552985918 1.58923686797069 -0.618908451189052 1.48976636087938
"reciprocate" -1.50320603427396 0.777633698625691 -1.1810702587778 -0.7657390622062
"remittances" 0.343447012788694 1.16161014100984 -1.3715605324213 1.48138285067383
"reprimand" -1.74014244952026 -0.359311361601746 -0.549209964638463 0.391299708128038
"reprobation" -1.80511459473797 0.560093624657357 -0.591840543649376 -0.0704516457567218
"rescind" -1.64056646594242 -0.0945501227944771 -0.240387195055281 0.512073195388411
"reuter" -1.52952435242535 -1.27117357691716 -1.69288894595939 0.689314863582941
"ronaldshay" -0.792885691642086 -0.223247654802482 -1.15090433134392 1.03323568988226
"seasoned" 0.170275987097047 0.304061151221465 -2.37742998308547 0.379942000891631
"senseless" -1.80676111735112 1.28308571164362 -0.412633382554524 0.437512890191832
"severer" -1.61870516194583 0.741801110533651 0.260693159286824 0.366819590341064
"shipwright" -0.697770244009389 -1.27883666045084 -1.49166973628709 2.31919529764935
"shipyards" -0.53723403183834 0.710359373053186 -1.12877841177942 1.38841708127511
"solemnity" -2.19431221210543 0.379636759514386 -0.307135914054797 -0.106857505539214
"sorrows" -1.52789457330743 1.83127105111417 -0.24468978873685 0.0954638532532692
"sprigg" -1.93474550046879 -0.608605587462563 -1.96771267789998 -0.167557179288608
"steamboat" -0.24615330308562 0.221214816852113 -1.11759039011846 1.84922806620501
"stiffen" -1.39001957733315 0.556627355588156 -0.925890955407828 0.228299536404958
"sting" -1.55093665752969 0.571442071482946 -0.943979625282452 0.574570806085056
