"V1" "V2" "V3" "V4"
"abhorred" -0.380389227496688 1.28944898690684 -0.741656029319828 -1.55352068761459
"admirers" -0.732432485147273 1.28971486229719 -0.859581223740364 -1.30230747062938
"alleviated" 0.221728339867171 0.0957175158900899 -1.51460309471735 -1.47267291471362
"ameliorated" 0.152053850853818 -0.15431354854973 -0.931981606781263 -1.56784434013114
"analysis" -1.80094443664275 0.135086278120267 -0.399286682587429 -0.783569267942309
"awake" -0.176507517242811 1.17230267837125 -0.679835369004117 -1.36225341754212
"ball" -2.08909507514828 0.50847359850031 -0.838962778217422 -1.12450544741558
"baptist" -1.04733510519245 0.0175662145552586 0.415158715959925 -1.92327885764223
"bernal" -1.62053821977856 0.407175218757215 0.226752895087872 -1.47762881817487
"blaming" -1.08789586598426 0.893743976381519 -0.244627165676495 -1.02867363284771
"boasting" -0.623942941668352 0.842572488411692 -0.968791409425977 -1.55781367377881
"brigade" -1.8150106038548 0.363688578200866 -1.42789633408871 0.37889293202293
"brink" -0.0345623625648252 0.856859771367427 -1.48162125956079 -1.58562968150985
"buonaparte" -0.731250180702955 0.452498836008835 -1.6436900686772 -1.06004671278227
"cardinal" -1.7877195948703 0.812936965464989 -0.396153756896615 -0.675911742427948
"chelmsford" -2.11485329125406 -0.368099818813906 0.45671280703417 -1.30301275405568
"civility" -1.39971810762317 0.841097175483006 -0.664325976015395 -0.604416904001947
"confiscate" -0.356982461168651 -0.497938440630709 -0.372969756943625 -1.54265024108948
"console" -0.868648703333695 1.03265806294261 -0.798884417053302 -1.34628437139369
"consols" -1.21682307350695 -1.94618565314893 -1.69410757053055 -0.319773020520649
"consuming" -0.682440072816357 -0.626854961885527 -1.24298042534148 -1.09950312724029
"contractor" -1.97306086271603 -0.26840543404108 -0.847402899727238 -0.521798606326387
"cowardice" -1.21684434750671 1.26976440150905 -0.920274143936295 -1.28067730156791
"crampton" -1.48192828664188 0.764086138033469 0.341273228241632 -0.78053303721985
"defaulters" -1.33360612056724 -1.04887675121393 -0.413242222870358 -1.17406391870254
"detachment" -1.37275856511913 -0.0993466234111903 -1.06877647796502 -0.232658171543174
"disaster" -0.354738316727766 0.529884091110982 -1.56283049303983 -1.1367959177517
"donors" -0.781623257746962 -0.5809688061558 0.285630209183838 -2.10305792044303
"edicts" -1.83296981426492 0.0239607756464724 -0.0340764109392927 -0.994437865053577
"eject" -1.419198282623 -0.528362451120263 -0.509177298803109 -1.29868813725655
"ejectments" -1.83754059155907 -0.147803677476153 -0.528473820926231 -1.28082478660107
"elementary" -0.339631885716737 -0.352506857105156 0.233094665441 -2.49781193943046
"entailing" -0.499800913364118 -0.606818332906141 -1.06117360211791 -1.09048024332524
"erased" -1.68925483888383 0.309648004013576 -0.223963627531047 -0.857506974649633
"failures" -0.758926093956038 0.172044135982103 -0.996074646182064 -0.97030344689778
"faint" -1.10019343612601 1.1818005793924 -0.995046653244559 -1.28886195038592
"fasten" -0.794811527872482 1.4892292815794 -0.394683680538732 -1.28121236470223
"fills" -1.53149782620447 0.526729589746586 -0.212694491288514 -0.878890952060869
"flat" -1.70543800495044 1.65885398515322 -0.153258648128772 -1.02888685502399
