"V1" "V2" "V3" "V4"
"abjure" 0.822960192655753 -0.239237341379196 -1.17738179215828 -2.63956624070511
"abridge" -0.572724872676502 -0.933362588488881 -0.863538627030436 -1.27305864327088
"affluent" -0.791488204365376 -0.492079684765373 -1.56048078821983 -0.995576272510593
"appertaining" 0.521510718641077 -0.00199003712973036 -1.4298693909989 -0.998801264652146
"appreciation" -0.299824296574831 -0.284258803929099 -0.559927451443321 -1.73510422195012
"auckland's" 1.20790940863462 0.350397477777308 -0.990060363403224 -1.87775756494544
"bailiffs" -0.363172066024535 1.02215161817117 -2.08567570764397 -0.346627158167359
"bancroft" 0.709194547869093 -0.966904838045759 -1.72593723106707 -1.10085406496626
"bavaria" 1.07831876198437 -1.25125832882863 -2.33543943418794 -0.633916006292829
"blasphemous" -1.09314058844883 1.03761351311977 -1.51191532351617 -2.21183830710918
"boasting" 0.107820931921288 -0.84600769705105 -0.890122850038527 -1.81545022760362
"boldero" -0.0922154578400608 2.33544726246093 -1.30923386838974 -1.7434544732906
"bubble" -1.10680159110303 -0.108091733012128 -1.73223015670383 -0.928511791638785
"censuring" -0.141245761900709 0.867283757113303 -0.41275642254374 -2.16396041554578
"charta" 0.407885045526806 -0.3443873135766 -1.89571399412812 -1.80586113593883
"consign" -0.742193748440597 -0.223697106754512 -1.33887093389149 -1.10732212024828
"deceit" -2.04600341955597 0.210969537627856 -0.79044535798532 -1.71632249620909
"depressing" -2.10083726585965 -1.27746075909618 -0.542095467092192 -0.653781545417223
"downward" -1.23746259460957 -0.315861209219907 -0.327766549650272 -1.8181136779758
"durable" -1.04529102930659 -0.603544132758732 -1.46868512807314 -0.512520524941356
"enclosing" -0.300803003429137 1.413361623055 -2.06018743367047 0.210146711075571
"enlightenment" -0.0230199263377264 -1.15585023934722 -1.03444183850805 -1.7855300346159
"expeditions" -0.271698836630646 -0.670353290462718 -1.52982316901804 -0.819727912496406
"extermination" -0.640484315737151 -1.33119312003502 -1.17205191922013 -1.13114211403213
"fortify" -0.405024303382648 0.122812215699703 -0.708012857706661 -1.3915959357968
"gainer" -0.92232094091718 -0.835692678833468 -1.59995570595554 -0.621667645547136
"gibbon" -0.0289908989470677 0.520987715031565 -1.15237628128599 -1.73799378579888
"gin" -2.10134710503125 -0.195134100959078 -2.13469186579053 -0.370934482625315
"gipps" 0.298872424512413 1.22148289465694 -1.73067042293594 -0.587002347969265
"gloom" -1.93018711033479 -0.788461779057417 -0.546668513156229 -1.99179457097812
"helping" -1.04970182683251 -0.0842021636959676 -0.779461247985937 -1.47274129986803
"hemisphere" 0.112466506740354 -0.66629442656027 -2.05065521286941 -0.34702930578421
"heresy" -0.208335144409466 0.328309236976971 -1.03236619320896 -2.33760732846947
"impertinent" -1.04520813490286 0.485042325889883 -0.583735498281834 -1.69374955978324
"imploring" -0.471321638068021 -0.00287066456490176 -0.818515340917445 -1.53080898965486
"inns" 0.925659928232012 1.51302163343291 -1.89750453214053 -0.505410013447645
"intituled" 0.533683176901381 0.457426844261053 -1.74191909951205 -1.00696559541471
"keogh" -0.250624853981466 1.23189961174771 -0.939775207951935 -1.6668289531777
"lengths" -1.09896161517169 -0.254676956727545 -0.699560611286665 -1.60663402900673
"limb" -1.32827466769568 -0.753579288648487 -1.42988148765454 -0.641504926417851
"manifold" -1.35067532715288 -0.372446879213415 -0.488904526515666 -1.56183572599715
"mason" -0.878603999049184 1.65887359763963 -1.33794009631335 -1.5181323944424
"mathematical" -0.506067111650931 -0.199414604963223 -1.36958873538191 -1.69917427244427
"mount" -0.711779352840847 0.21558063070127 -2.06721934578687 -0.916473683233957
"mounted" -0.445744183745342 0.223396089949453 -2.17944985179744 -0.51746170469791
"onward" -0.800215370187854 -0.232213687733539 -0.889911710693678 -1.49173527699329
"orthodox" 1.0728114517099 0.0970528308123736 -1.28144560442343 -1.71299969425616
"outwards" -0.972184709375489 -1.88578611191147 -3.06132731400068 0.900290309722253
"polled" -1.12169522772798 2.10873696675865 -0.572386466754815 -0.842968770835119
"proportionably" -1.37339392807585 -1.05688024037023 -1.12883231255817 -0.405493961048195
"ration" -1.78922403841439 -0.250968340579787 -1.89090054136096 0.025097505316622
"recognisances" -0.534479280754958 1.91561282963626 -1.54517390309199 -0.970481197392106
"refreshment" -1.57988215354591 1.07579414809578 -1.33799830413438 -0.58068744726637
"remodelling" -0.398620345973984 0.0912615919706367 -0.915695333323306 -0.682159951785745
"retracted" -0.230942785437367 1.01853093035929 -0.363274001228158 -2.11446218303816
"sergeants" 1.30901844690204 0.337282817840445 -1.84440740994171 -0.39556061754545
"seriatim" -1.40984044323949 1.63484703033524 -0.461525859140695 -1.50974658270647
"sever" 0.599554868422154 -1.14811012373143 -1.02025242135475 -1.25312645512253
"shareholder" -0.632203213671316 0.762933001414877 -1.82048856680433 0.139581873787181
"simplest" -0.972464111885239 -0.129806014470439 -0.899552492782278 -1.35469730624193
"sophistry" -1.58655479008384 -0.292198891592282 -0.469084171687716 -1.97057109064533
"spoil" -1.1067818303595 -0.19250218973195 -1.3473502572402 -0.886823132103381
"stifle" -0.424463498344657 0.292302866784544 0.0831016589787374 -2.35430291346474
"stipulate" -0.0772367103662868 -0.551790016950302 -1.55835079973829 -0.952082990403145
"stirred" -0.967021736361292 -0.475485941847933 -0.381776170363383 -1.81543661311065
"substitutes" -1.35399611405705 0.360485681668495 -1.31239377455878 -0.677610994998323
"surgical" 0.0932770092049367 0.603935216908924 -1.81941154468788 -0.84055455119507
"surmounted" -1.04596542992778 -0.563220991928495 -0.568858843920618 -1.57757272795316
"surrendering" -0.700578878005607 -0.0889596715799124 -1.11129311309789 -0.962774047445291
"tears" -0.837573897470643 -0.605369243529956 -1.19103637037159 -1.9458432250578
"temperately" -1.41936886925525 0.275759810894856 0.333844990503781 -2.72629744766424
"thick" -1.72678650962627 0.293744086265179 -1.59062446577189 -0.96312400992723
"throws" -1.37557641817053 0.197540928674515 -0.82972731109665 -1.18225935463836
