year,debates_per_year,keywords,words_per_year,proportion
1906,130,cargoes,5193,0.02503369921047564
1907,101,cargoes,4386,0.02302781577747378
1908,87,cargoes,5474,0.015893313847278042
1909,172,cargoes,6443,0.026695638677634644
1910,115,cargoes,5008,0.022963258785942492
1804,1,wrecks,168,0.005952380952380952
1807,3,wrecks,59,0.05084745762711865
1811,2,wrecks,211,0.009478672985781991
1815,1,wrecks,247,0.004048582995951417
1819,1,wrecks,378,0.0026455026455026454
1820,1,wrecks,219,0.0045662100456621
1823,1,wrecks,226,0.004424778761061947
1824,2,wrecks,313,0.006389776357827476
1825,1,wrecks,118,0.00847457627118644
1826,2,wrecks,223,0.008968609865470852
1830,4,wrecks,717,0.005578800557880056
1831,1,wrecks,932,0.001072961373390558
1833,2,wrecks,519,0.0038535645472061657
1834,3,wrecks,483,0.006211180124223602
1835,4,wrecks,627,0.006379585326953748
1836,11,wrecks,604,0.018211920529801324
1837,5,wrecks,497,0.01006036217303823
1838,1,wrecks,373,0.002680965147453083
1839,8,wrecks,517,0.015473887814313346
1840,3,wrecks,469,0.006396588486140725
1841,5,wrecks,528,0.00946969696969697
1842,5,wrecks,811,0.006165228113440197
1843,2,wrecks,624,0.003205128205128205
1844,1,wrecks,290,0.0034482758620689655
1845,47,wrecks,636,0.07389937106918239
1846,27,wrecks,597,0.04522613065326633
1847,18,wrecks,794,0.022670025188916875
1848,11,wrecks,438,0.02511415525114155
1849,13,wrecks,487,0.026694045174537988
1850,24,wrecks,535,0.044859813084112146
1851,5,wrecks,283,0.0176678445229682
1852,9,wrecks,579,0.015544041450777202
1853,7,wrecks,555,0.012612612612612612
1854,13,wrecks,667,0.019490254872563718
1855,13,wrecks,764,0.017015706806282723
1856,6,wrecks,846,0.0070921985815602835
1857,4,wrecks,724,0.0055248618784530384
1858,7,wrecks,610,0.011475409836065573
1860,6,wrecks,580,0.010344827586206896
1861,11,wrecks,576,0.019097222222222224
1862,9,wrecks,449,0.0200445434298441
1863,12,wrecks,589,0.02037351443123939
1864,6,wrecks,439,0.01366742596810934
1865,9,wrecks,528,0.017045454545454544
1866,7,wrecks,419,0.016706443914081145
1867,17,wrecks,717,0.023709902370990237
1868,5,wrecks,481,0.010395010395010396
1869,6,wrecks,631,0.009508716323296355
1870,4,wrecks,684,0.005847953216374269
1871,8,wrecks,792,0.010101010101010102
1872,1,wrecks,607,0.0016474464579901153
1873,15,wrecks,746,0.020107238605898123
1874,7,wrecks,495,0.014141414141414142
1875,13,wrecks,865,0.015028901734104046
1876,11,wrecks,933,0.011789924973204717
1877,7,wrecks,893,0.007838745800671893
1878,10,wrecks,945,0.010582010582010581
1879,14,wrecks,846,0.016548463356973995
1880,18,wrecks,1264,0.014240506329113924
1881,18,wrecks,1629,0.011049723756906077
1882,10,wrecks,1477,0.006770480704129994
1883,37,wrecks,2947,0.012555140821174076
1884,26,wrecks,2168,0.011992619926199263
1885,29,wrecks,1549,0.01872175597159458
1886,46,wrecks,2811,0.016364283173247954
1887,85,wrecks,4399,0.01932257331211639
1888,46,wrecks,4589,0.010023970363913707
1889,53,wrecks,2889,0.018345448251990307
1890,59,wrecks,3259,0.018103712795335992
1891,20,wrecks,810,0.024691358024691357
1892,56,wrecks,2028,0.027613412228796843
1893,73,wrecks,2045,0.03569682151589242
1894,76,wrecks,2158,0.03521779425393883
1895,107,wrecks,2934,0.03646898432174506
1896,143,wrecks,3517,0.04065965311344896
1897,101,wrecks,2867,0.035228461806766656
1898,86,wrecks,2951,0.029142663503896982
1899,90,wrecks,2470,0.03643724696356275
1900,125,wrecks,4199,0.02976899261728983
1901,98,wrecks,3443,0.028463549230322394
1902,184,wrecks,5941,0.0309712169668406
1903,76,wrecks,2221,0.034218820351193155
1904,85,wrecks,3296,0.02578883495145631
1905,75,wrecks,3447,0.02175805047867711
1906,130,wrecks,5193,0.02503369921047564
1907,101,wrecks,4386,0.02302781577747378
1908,87,wrecks,5474,0.015893313847278042
1909,172,wrecks,6443,0.026695638677634644
1910,115,wrecks,5008,0.022963258785942492
1804,1,cars,168,0.005952380952380952
1807,3,cars,59,0.05084745762711865
1811,2,cars,211,0.009478672985781991
1815,1,cars,247,0.004048582995951417
1819,1,cars,378,0.0026455026455026454
1820,1,cars,219,0.0045662100456621
1823,1,cars,226,0.004424778761061947
1824,2,cars,313,0.006389776357827476
1825,1,cars,118,0.00847457627118644
1826,2,cars,223,0.008968609865470852
1830,4,cars,717,0.005578800557880056
1831,1,cars,932,0.001072961373390558
1833,2,cars,519,0.0038535645472061657
1834,3,cars,483,0.006211180124223602
1835,4,cars,627,0.006379585326953748
1836,11,cars,604,0.018211920529801324
1837,5,cars,497,0.01006036217303823
1838,1,cars,373,0.002680965147453083
1839,8,cars,517,0.015473887814313346
1840,3,cars,469,0.006396588486140725
1841,5,cars,528,0.00946969696969697
1842,5,cars,811,0.006165228113440197
1843,2,cars,624,0.003205128205128205
1844,1,cars,290,0.0034482758620689655
1845,47,cars,636,0.07389937106918239
1846,27,cars,597,0.04522613065326633
1847,18,cars,794,0.022670025188916875
1848,11,cars,438,0.02511415525114155
1849,13,cars,487,0.026694045174537988
1850,24,cars,535,0.044859813084112146
1851,5,cars,283,0.0176678445229682
1852,9,cars,579,0.015544041450777202
1853,7,cars,555,0.012612612612612612
1854,13,cars,667,0.019490254872563718
1855,13,cars,764,0.017015706806282723
1856,6,cars,846,0.0070921985815602835
1857,4,cars,724,0.0055248618784530384
1858,7,cars,610,0.011475409836065573
1860,6,cars,580,0.010344827586206896
1861,11,cars,576,0.019097222222222224
1862,9,cars,449,0.0200445434298441
1863,12,cars,589,0.02037351443123939
1864,6,cars,439,0.01366742596810934
1865,9,cars,528,0.017045454545454544
1866,7,cars,419,0.016706443914081145
1867,17,cars,717,0.023709902370990237
1868,5,cars,481,0.010395010395010396
1869,6,cars,631,0.009508716323296355
1870,4,cars,684,0.005847953216374269
1871,8,cars,792,0.010101010101010102
1872,1,cars,607,0.0016474464579901153
1873,15,cars,746,0.020107238605898123
1874,7,cars,495,0.014141414141414142
1875,13,cars,865,0.015028901734104046
1876,11,cars,933,0.011789924973204717
1877,7,cars,893,0.007838745800671893
1878,10,cars,945,0.010582010582010581
1879,14,cars,846,0.016548463356973995
1880,18,cars,1264,0.014240506329113924
1881,18,cars,1629,0.011049723756906077
1882,10,cars,1477,0.006770480704129994
1883,37,cars,2947,0.012555140821174076
1884,26,cars,2168,0.011992619926199263
1885,29,cars,1549,0.01872175597159458
1886,46,cars,2811,0.016364283173247954
1887,85,cars,4399,0.01932257331211639
1888,46,cars,4589,0.010023970363913707
1889,53,cars,2889,0.018345448251990307
1890,59,cars,3259,0.018103712795335992
1891,20,cars,810,0.024691358024691357
1892,56,cars,2028,0.027613412228796843
1893,73,cars,2045,0.03569682151589242
1894,76,cars,2158,0.03521779425393883
1895,107,cars,2934,0.03646898432174506
1896,143,cars,3517,0.04065965311344896
1897,101,cars,2867,0.035228461806766656
1898,86,cars,2951,0.029142663503896982
1899,90,cars,2470,0.03643724696356275
1900,125,cars,4199,0.02976899261728983
1901,98,cars,3443,0.028463549230322394
1902,184,cars,5941,0.0309712169668406
1903,76,cars,2221,0.034218820351193155
1904,85,cars,3296,0.02578883495145631
1905,75,cars,3447,0.02175805047867711
1906,130,cars,5193,0.02503369921047564
1907,101,cars,4386,0.02302781577747378
1908,87,cars,5474,0.015893313847278042
1909,172,cars,6443,0.026695638677634644
1910,115,cars,5008,0.022963258785942492
1804,1,locomotives,168,0.005952380952380952
1807,3,locomotives,59,0.05084745762711865
1811,2,locomotives,211,0.009478672985781991
1815,1,locomotives,247,0.004048582995951417
1819,1,locomotives,378,0.0026455026455026454
1820,1,locomotives,219,0.0045662100456621
1823,1,locomotives,226,0.004424778761061947
1824,2,locomotives,313,0.006389776357827476
1825,1,locomotives,118,0.00847457627118644
1826,2,locomotives,223,0.008968609865470852
1830,4,locomotives,717,0.005578800557880056
1831,1,locomotives,932,0.001072961373390558
1833,2,locomotives,519,0.0038535645472061657
1834,3,locomotives,483,0.006211180124223602
1835,4,locomotives,627,0.006379585326953748
1836,11,locomotives,604,0.018211920529801324
1837,5,locomotives,497,0.01006036217303823
1838,1,locomotives,373,0.002680965147453083
1839,8,locomotives,517,0.015473887814313346
1840,3,locomotives,469,0.006396588486140725
1841,5,locomotives,528,0.00946969696969697
1842,5,locomotives,811,0.006165228113440197
1843,2,locomotives,624,0.003205128205128205
1844,1,locomotives,290,0.0034482758620689655
1845,47,locomotives,636,0.07389937106918239
1846,27,locomotives,597,0.04522613065326633
1847,18,locomotives,794,0.022670025188916875
1848,11,locomotives,438,0.02511415525114155
1849,13,locomotives,487,0.026694045174537988
1850,24,locomotives,535,0.044859813084112146
1851,5,locomotives,283,0.0176678445229682
1852,9,locomotives,579,0.015544041450777202
1853,7,locomotives,555,0.012612612612612612
1854,13,locomotives,667,0.019490254872563718
1855,13,locomotives,764,0.017015706806282723
1856,6,locomotives,846,0.0070921985815602835
1857,4,locomotives,724,0.0055248618784530384
1858,7,locomotives,610,0.011475409836065573
1860,6,locomotives,580,0.010344827586206896
1861,11,locomotives,576,0.019097222222222224
1862,9,locomotives,449,0.0200445434298441
1863,12,locomotives,589,0.02037351443123939
1864,6,locomotives,439,0.01366742596810934
1865,9,locomotives,528,0.017045454545454544
1866,7,locomotives,419,0.016706443914081145
1867,17,locomotives,717,0.023709902370990237
1868,5,locomotives,481,0.010395010395010396
1869,6,locomotives,631,0.009508716323296355
1870,4,locomotives,684,0.005847953216374269
1871,8,locomotives,792,0.010101010101010102
1872,1,locomotives,607,0.0016474464579901153
1873,15,locomotives,746,0.020107238605898123
1874,7,locomotives,495,0.014141414141414142
1875,13,locomotives,865,0.015028901734104046
1876,11,locomotives,933,0.011789924973204717
1877,7,locomotives,893,0.007838745800671893
1878,10,locomotives,945,0.010582010582010581
1879,14,locomotives,846,0.016548463356973995
1880,18,locomotives,1264,0.014240506329113924
1881,18,locomotives,1629,0.011049723756906077
1882,10,locomotives,1477,0.006770480704129994
1883,37,locomotives,2947,0.012555140821174076
1884,26,locomotives,2168,0.011992619926199263
1885,29,locomotives,1549,0.01872175597159458
1886,46,locomotives,2811,0.016364283173247954
1887,85,locomotives,4399,0.01932257331211639
1888,46,locomotives,4589,0.010023970363913707
1889,53,locomotives,2889,0.018345448251990307
1890,59,locomotives,3259,0.018103712795335992
1891,20,locomotives,810,0.024691358024691357
1892,56,locomotives,2028,0.027613412228796843
1893,73,locomotives,2045,0.03569682151589242
1894,76,locomotives,2158,0.03521779425393883
1895,107,locomotives,2934,0.03646898432174506
1896,143,locomotives,3517,0.04065965311344896
1897,101,locomotives,2867,0.035228461806766656
1898,86,locomotives,2951,0.029142663503896982
1899,90,locomotives,2470,0.03643724696356275
1900,125,locomotives,4199,0.02976899261728983
1901,98,locomotives,3443,0.028463549230322394
1902,184,locomotives,5941,0.0309712169668406
1903,76,locomotives,2221,0.034218820351193155
1904,85,locomotives,3296,0.02578883495145631
1905,75,locomotives,3447,0.02175805047867711
1906,130,locomotives,5193,0.02503369921047564
1907,101,locomotives,4386,0.02302781577747378
1908,87,locomotives,5474,0.015893313847278042
1909,172,locomotives,6443,0.026695638677634644
1910,115,locomotives,5008,0.022963258785942492
1804,1,highways,168,0.005952380952380952
1807,3,highways,59,0.05084745762711865
1811,2,highways,211,0.009478672985781991
1815,1,highways,247,0.004048582995951417
1819,1,highways,378,0.0026455026455026454
1820,1,highways,219,0.0045662100456621
1823,1,highways,226,0.004424778761061947
1824,2,highways,313,0.006389776357827476
1825,1,highways,118,0.00847457627118644
1826,2,highways,223,0.008968609865470852
1830,4,highways,717,0.005578800557880056
1831,1,highways,932,0.001072961373390558
1833,2,highways,519,0.0038535645472061657
1834,3,highways,483,0.006211180124223602
1835,4,highways,627,0.006379585326953748
1836,11,highways,604,0.018211920529801324
1837,5,highways,497,0.01006036217303823
1838,1,highways,373,0.002680965147453083
1839,8,highways,517,0.015473887814313346
1840,3,highways,469,0.006396588486140725
1841,5,highways,528,0.00946969696969697
1842,5,highways,811,0.006165228113440197
1843,2,highways,624,0.003205128205128205
1844,1,highways,290,0.0034482758620689655
1845,47,highways,636,0.07389937106918239
1846,27,highways,597,0.04522613065326633
1847,18,highways,794,0.022670025188916875
1848,11,highways,438,0.02511415525114155
1849,13,highways,487,0.026694045174537988
1850,24,highways,535,0.044859813084112146
1851,5,highways,283,0.0176678445229682
1852,9,highways,579,0.015544041450777202
1853,7,highways,555,0.012612612612612612
1854,13,highways,667,0.019490254872563718
1855,13,highways,764,0.017015706806282723
1856,6,highways,846,0.0070921985815602835
1857,4,highways,724,0.0055248618784530384
1858,7,highways,610,0.011475409836065573
1860,6,highways,580,0.010344827586206896
1861,11,highways,576,0.019097222222222224
1862,9,highways,449,0.0200445434298441
1863,12,highways,589,0.02037351443123939
1864,6,highways,439,0.01366742596810934
1865,9,highways,528,0.017045454545454544
1866,7,highways,419,0.016706443914081145
1867,17,highways,717,0.023709902370990237
1868,5,highways,481,0.010395010395010396
1869,6,highways,631,0.009508716323296355
1870,4,highways,684,0.005847953216374269
1871,8,highways,792,0.010101010101010102
1872,1,highways,607,0.0016474464579901153
1873,15,highways,746,0.020107238605898123
1874,7,highways,495,0.014141414141414142
1875,13,highways,865,0.015028901734104046
1876,11,highways,933,0.011789924973204717
1877,7,highways,893,0.007838745800671893
1878,10,highways,945,0.010582010582010581
1879,14,highways,846,0.016548463356973995
1880,18,highways,1264,0.014240506329113924
1881,18,highways,1629,0.011049723756906077
1882,10,highways,1477,0.006770480704129994
1883,37,highways,2947,0.012555140821174076
1884,26,highways,2168,0.011992619926199263
1885,29,highways,1549,0.01872175597159458
1886,46,highways,2811,0.016364283173247954
1887,85,highways,4399,0.01932257331211639
1888,46,highways,4589,0.010023970363913707
1889,53,highways,2889,0.018345448251990307
1890,59,highways,3259,0.018103712795335992
1891,20,highways,810,0.024691358024691357
1892,56,highways,2028,0.027613412228796843
1893,73,highways,2045,0.03569682151589242
1894,76,highways,2158,0.03521779425393883
1895,107,highways,2934,0.03646898432174506
1896,143,highways,3517,0.04065965311344896
1897,101,highways,2867,0.035228461806766656
1898,86,highways,2951,0.029142663503896982
1899,90,highways,2470,0.03643724696356275
1900,125,highways,4199,0.02976899261728983
1901,98,highways,3443,0.028463549230322394
1902,184,highways,5941,0.0309712169668406
1903,76,highways,2221,0.034218820351193155
1904,85,highways,3296,0.02578883495145631
1905,75,highways,3447,0.02175805047867711
1906,130,highways,5193,0.02503369921047564
1907,101,highways,4386,0.02302781577747378
1908,87,highways,5474,0.015893313847278042
1909,172,highways,6443,0.026695638677634644
1910,115,highways,5008,0.022963258785942492
