year,debates_per_year,keywords
1872,1,estate
1873,5,estate
1874,1,estate
1875,5,estate
1876,8,estate
1877,1,estate
1878,6,estate
1879,3,estate
1880,14,estate
1881,78,estate
1882,151,estate
1883,30,estate
1884,14,estate
1885,12,estate
1886,36,estate
1887,53,estate
1888,51,estate
1889,48,estate
1890,30,estate
1891,5,estate
1892,20,estate
1893,15,estate
1894,25,estate
1895,30,estate
1896,83,estate
1897,51,estate
1898,39,estate
1899,33,estate
1900,49,estate
1901,55,estate
1902,88,estate
1903,23,estate
1904,143,estate
1905,187,estate
1906,267,estate
1907,168,estate
1908,232,estate
1909,318,estate
1910,227,estate
1804,4,evict
1805,1,evict
1807,1,evict
1808,1,evict
1809,1,evict
1810,1,evict
1811,2,evict
1812,1,evict
1815,8,evict
1817,1,evict
1818,1,evict
1820,2,evict
1822,1,evict
1823,3,evict
1826,2,evict
1828,3,evict
1830,4,evict
1831,6,evict
1832,4,evict
1833,4,evict
1834,8,evict
1835,3,evict
1836,10,evict
1837,5,evict
1838,5,evict
1839,3,evict
1840,2,evict
1841,5,evict
1842,6,evict
1843,8,evict
1844,6,evict
1845,16,evict
1846,11,evict
1847,10,evict
1848,9,evict
1849,10,evict
1850,14,evict
1851,6,evict
1852,12,evict
1853,11,evict
1854,14,evict
1855,4,evict
1856,10,evict
1857,1,evict
1858,6,evict
1859,5,evict
1860,12,evict
1861,3,evict
1862,2,evict
1863,1,evict
1864,1,evict
1865,5,evict
1866,2,evict
1867,3,evict
1868,1,evict
1869,8,evict
1870,2,evict
1871,6,evict
1872,1,evict
1873,5,evict
1874,1,evict
1875,5,evict
1876,8,evict
1877,1,evict
1878,6,evict
1879,3,evict
1880,14,evict
1881,78,evict
1882,151,evict
1883,30,evict
1884,14,evict
1885,12,evict
1886,36,evict
1887,53,evict
1888,51,evict
1889,48,evict
1890,30,evict
1891,5,evict
1892,20,evict
1893,15,evict
1894,25,evict
1895,30,evict
1896,83,evict
1897,51,evict
1898,39,evict
1899,33,evict
1900,49,evict
1901,55,evict
1902,88,evict
1903,23,evict
1904,143,evict
1905,187,evict
1906,267,evict
1907,168,evict
1908,232,evict
1909,318,evict
1910,227,evict
1804,4,inclosure
1805,1,inclosure
1807,1,inclosure
1808,1,inclosure
1809,1,inclosure
1810,1,inclosure
1811,2,inclosure
1812,1,inclosure
1815,8,inclosure
1817,1,inclosure
1818,1,inclosure
1820,2,inclosure
1822,1,inclosure
1823,3,inclosure
1826,2,inclosure
1828,3,inclosure
1830,4,inclosure
1831,6,inclosure
1832,4,inclosure
1833,4,inclosure
1834,8,inclosure
1835,3,inclosure
1836,10,inclosure
1837,5,inclosure
1838,5,inclosure
1839,3,inclosure
1840,2,inclosure
1841,5,inclosure
1842,6,inclosure
1843,8,inclosure
1844,6,inclosure
1845,16,inclosure
1846,11,inclosure
1847,10,inclosure
1848,9,inclosure
1849,10,inclosure
1850,14,inclosure
1851,6,inclosure
1852,12,inclosure
1853,11,inclosure
1854,14,inclosure
1855,4,inclosure
1856,10,inclosure
1857,1,inclosure
1858,6,inclosure
1859,5,inclosure
1860,12,inclosure
1861,3,inclosure
1862,2,inclosure
1863,1,inclosure
1864,1,inclosure
1865,5,inclosure
1866,2,inclosure
1867,3,inclosure
1868,1,inclosure
1869,8,inclosure
1870,2,inclosure
1871,6,inclosure
1872,1,inclosure
1873,5,inclosure
1874,1,inclosure
1875,5,inclosure
1876,8,inclosure
1877,1,inclosure
1878,6,inclosure
1879,3,inclosure
1880,14,inclosure
1881,78,inclosure
1882,151,inclosure
1883,30,inclosure
1884,14,inclosure
1885,12,inclosure
1886,36,inclosure
1887,53,inclosure
1888,51,inclosure
1889,48,inclosure
1890,30,inclosure
1891,5,inclosure
1892,20,inclosure
1893,15,inclosure
1894,25,inclosure
1895,30,inclosure
1896,83,inclosure
1897,51,inclosure
1898,39,inclosure
1899,33,inclosure
1900,49,inclosure
1901,55,inclosure
1902,88,inclosure
1903,23,inclosure
1904,143,inclosure
1905,187,inclosure
1906,267,inclosure
1907,168,inclosure
1908,232,inclosure
1909,318,inclosure
